Date,Open,High,Low,Close,Adj Close,Volume,DFF
2024-01-02,2063.5,2073.699951171875,2057.10009765625,2064.39990234375,2064.39990234375,61.0,5.33
2024-01-03,2034.199951171875,2044.0,2034.199951171875,2034.199951171875,2034.199951171875,54.0,5.33
2024-01-04,2041.5999755859373,2044.5,2038.0,2042.300048828125,2042.300048828125,88.0,5.33
2024-01-05,2044.5,2048.10009765625,2042.4000244140625,2042.4000244140625,2042.4000244140625,12.0,5.33
2024-01-08,2019.0999755859373,2033.699951171875,2019.0999755859373,2026.5999755859373,2026.5999755859373,10.0,5.33
2024-01-09,2035.800048828125,2035.800048828125,2026.4000244140625,2026.4000244140625,2026.4000244140625,27.0,5.33
2024-01-10,2029.0,2035.5999755859373,2021.699951171875,2021.699951171875,2021.699951171875,538.0,5.33
2024-01-11,2025.0999755859373,2025.0999755859373,2014.300048828125,2014.300048828125,2014.300048828125,97.0,5.33
2024-01-12,2031.0999755859373,2057.0,2031.0999755859373,2046.699951171875,2046.699951171875,390.0,5.33
2024-01-16,2051.699951171875,2054.800048828125,2026.0,2026.0,2026.0,46.0,5.33
2024-01-17,2026.5,2026.5,2002.5999755859373,2002.5999755859373,2002.5999755859373,764.0,5.33
2024-01-18,2012.800048828125,2018.5999755859373,2009.5,2018.5999755859373,2018.5999755859373,1474.0,5.33
2024-01-19,2023.199951171875,2036.0,2019.5,2026.5,2026.5,50.0,5.33
2024-01-22,2021.300048828125,2021.300048828125,2019.800048828125,2019.800048828125,2019.800048828125,12.0,5.33
2024-01-23,2030.300048828125,2030.300048828125,2022.5,2023.699951171875,2023.699951171875,15.0,5.33
2024-01-24,2023.199951171875,2033.199951171875,2013.9000244140625,2013.9000244140625,2013.9000244140625,253.0,5.33
2024-01-25,2012.0999755859373,2022.4000244140625,2012.0999755859373,2016.9000244140625,2016.9000244140625,548.0,5.33
2024-01-26,2021.699951171875,2022.4000244140625,2016.800048828125,2016.800048828125,2016.800048828125,49.0,5.33
2024-01-29,2025.199951171875,2025.199951171875,2025.199951171875,2025.199951171875,2025.199951171875,150708.0,5.33
2024-01-30,2032.5,2048.5,2028.0999755859373,2031.5,2031.5,26907.0,5.33
2024-01-31,2035.4000244140625,2055.0,2030.0,2048.39990234375,2048.39990234375,2007.0,5.33
2024-02-01,2040.199951171875,2064.5,2029.0,2053.0,2053.0,947.0,5.33
2024-02-02,2054.800048828125,2055.89990234375,2027.699951171875,2036.0999755859373,2036.0999755859373,888.0,5.33
2024-02-05,2038.9000244140625,2040.800048828125,2013.800048828125,2025.699951171875,2025.699951171875,412.0,5.33
2024-02-06,2025.9000244140625,2037.300048828125,2025.9000244140625,2034.5,2034.5,249.0,5.33
2024-02-07,2032.800048828125,2039.5,2032.699951171875,2035.199951171875,2035.199951171875,71.0,5.33
2024-02-08,2028.0,2036.699951171875,2020.300048828125,2032.199951171875,2032.199951171875,341.0,5.33
2024-02-09,2032.0,2032.0,2020.0,2023.300048828125,2023.300048828125,62.0,5.33
2024-02-12,2025.5,2025.5,2011.5999755859373,2018.199951171875,2018.199951171875,317.0,5.33
2024-02-13,2025.0999755859373,2025.800048828125,1990.0,1992.9000244140625,1992.9000244140625,198.0,5.33
2024-02-14,1990.300048828125,1993.5,1984.800048828125,1990.300048828125,1990.300048828125,1916.0,5.33
2024-02-15,1993.5999755859373,2007.199951171875,1993.5999755859373,2002.0999755859373,2002.0999755859373,286.0,5.33
2024-02-16,2005.0,2011.5,1996.5,2011.5,2011.5,32.0,5.33
2024-02-20,2015.5999755859373,2029.0,2015.5999755859373,2027.5,2027.5,1326.0,5.33
2024-02-21,2028.199951171875,2028.199951171875,2022.300048828125,2022.300048828125,2022.300048828125,15.0,5.33
2024-02-22,2033.199951171875,2033.199951171875,2019.699951171875,2019.699951171875,2019.699951171875,964.0,5.33
2024-02-23,2026.0,2038.5999755859373,2014.9000244140625,2038.5999755859373,2038.5999755859373,22.0,5.33
2024-02-26,2034.0999755859373,2035.4000244140625,2024.800048828125,2028.5,2028.5,143.0,5.33
2024-02-27,2035.9000244140625,2035.9000244140625,2034.0,2034.0,2034.0,964.0,5.33
2024-02-28,2029.5,2037.0,2024.800048828125,2033.0,2033.0,581.0,5.33
2024-02-29,2034.300048828125,2049.800048828125,2034.300048828125,2045.699951171875,2045.699951171875,706.0,5.33
2024-03-01,2043.0999755859373,2086.89990234375,2041.800048828125,2086.89990234375,2086.89990234375,1210.0,5.33
2024-03-04,2083.60009765625,2119.800048828125,2080.699951171875,2117.699951171875,2117.699951171875,805.0,5.33
2024-03-05,2114.89990234375,2133.5,2111.39990234375,2133.5,2133.5,1287.0,5.33
2024-03-06,2125.5,2150.300048828125,2125.5,2150.300048828125,2150.300048828125,443.0,5.33
2024-03-07,2147.0,2163.0,2147.0,2158.0,2158.0,152.0,5.33
2024-03-08,2167.300048828125,2194.89990234375,2166.300048828125,2178.60009765625,2178.60009765625,259.0,5.33
2024-03-11,2181.0,2184.0,2177.199951171875,2182.5,2182.5,738.0,5.33
2024-03-12,2182.5,2182.699951171875,2160.39990234375,2160.39990234375,2160.39990234375,550.0,5.33
2024-03-13,2162.5,2175.39990234375,2162.5,2175.39990234375,2175.39990234375,20.0,5.33
